month,beao
January 2015,108.0
February 2015,110.0
March 2015,110.0
April 2015,119.0
May 2015,113.0
June 2015,107.0
July 2015,106.0
August 2015,112.0
September 2015,105.0
October 2015,102.0
November 2015,98.0
December 2015,111.0
January 2016,112.0
February 2016,111.0
March 2016,102.0
April 2016,104.0
May 2016,112.0
June 2016,122.0
July 2016,119.0
August 2016,114.0
September 2016,118.0
October 2016,123.0
November 2016,121.0
December 2016,117.0
January 2017,106.0
February 2017,95.0
March 2017,89.0
April 2017,96.0
May 2017,112.0
June 2017,110.0
July 2017,107.0
August 2017,102.0
September 2017,100.0
October 2017,109.0
November 2017,107.0
December 2017,102.0
January 2018,97.0
February 2018,95.0
March 2018,108.0
April 2018,95.0
May 2018,98.0
June 2018,87.0
July 2018,90.0
August 2018,84.0
September 2018,83.0
October 2018,91.0
November 2018,91.0
December 2018,91.0
January 2019,88.0
February 2019,92.0
March 2019,108.0
April 2019,101.0
May 2019,103.0
June 2019,98.0
July 2019,115.0
August 2019,119.0
September 2019,120.0
October 2019,116.0
November 2019,110.0
December 2019,107.0
