"DATE_NAME","AGE_NAME","OBS_VALUE"
"October 2015","Aged 16-24",11445
"October 2015","Aged 25-49",24670
"October 2015","Aged 50+",9915
"November 2015","Aged 16-24",11090
"November 2015","Aged 25-49",24890
"November 2015","Aged 50+",10360
"December 2015","Aged 16-24",10715
"December 2015","Aged 25-49",25300
"December 2015","Aged 50+",10675
"January 2016","Aged 16-24",11175
"January 2016","Aged 25-49",26985
"January 2016","Aged 50+",11455
"February 2016","Aged 16-24",11810
"February 2016","Aged 25-49",27695
"February 2016","Aged 50+",11910
"March 2016","Aged 16-24",11920
"March 2016","Aged 25-49",27880
"March 2016","Aged 50+",12140
"April 2016","Aged 16-24",11550
"April 2016","Aged 25-49",27060
"April 2016","Aged 50+",11910
"May 2016","Aged 16-24",11320
"May 2016","Aged 25-49",26600
"May 2016","Aged 50+",11770
"June 2016","Aged 16-24",11125
"June 2016","Aged 25-49",26125
"June 2016","Aged 50+",11745
"July 2016","Aged 16-24",11250
"July 2016","Aged 25-49",25810
"July 2016","Aged 50+",11715
"August 2016","Aged 16-24",11570
"August 2016","Aged 25-49",25835
"August 2016","Aged 50+",11870
"September 2016","Aged 16-24",11785
"September 2016","Aged 25-49",25700
"September 2016","Aged 50+",11860
"October 2016","Aged 16-24",12335
"October 2016","Aged 25-49",25705
"October 2016","Aged 50+",12040
"November 2016","Aged 16-24",12190
"November 2016","Aged 25-49",25965
"November 2016","Aged 50+",12240
"December 2016","Aged 16-24",11850
"December 2016","Aged 25-49",26195
"December 2016","Aged 50+",12540
"January 2017","Aged 16-24",11585
"January 2017","Aged 25-49",27375
"January 2017","Aged 50+",13140
"February 2017","Aged 16-24",11845
"February 2017","Aged 25-49",28080
"February 2017","Aged 50+",13315
"March 2017","Aged 16-24",12285
"March 2017","Aged 25-49",28105
"March 2017","Aged 50+",13195
"April 2017","Aged 16-24",12320
"April 2017","Aged 25-49",27890
"April 2017","Aged 50+",13175
"May 2017","Aged 16-24",11870
"May 2017","Aged 25-49",27770
"May 2017","Aged 50+",13105
"June 2017","Aged 16-24",11710
"June 2017","Aged 25-49",27500
"June 2017","Aged 50+",13025
"July 2017","Aged 16-24",11655
"July 2017","Aged 25-49",27190
"July 2017","Aged 50+",12980
"August 2017","Aged 16-24",11890
"August 2017","Aged 25-49",27550
"August 2017","Aged 50+",13115
"September 2017","Aged 16-24",12080
"September 2017","Aged 25-49",27445
"September 2017","Aged 50+",13075
"October 2017","Aged 16-24",12050
"October 2017","Aged 25-49",27255
"October 2017","Aged 50+",13230
"November 2017","Aged 16-24",11955
"November 2017","Aged 25-49",27500
"November 2017","Aged 50+",13485
"December 2017","Aged 16-24",11770
"December 2017","Aged 25-49",28180
"December 2017","Aged 50+",13940
"January 2018","Aged 16-24",11875
"January 2018","Aged 25-49",29450
"January 2018","Aged 50+",14450
"February 2018","Aged 16-24",12620
"February 2018","Aged 25-49",30615
"February 2018","Aged 50+",14870
"March 2018","Aged 16-24",13025
"March 2018","Aged 25-49",31380
"March 2018","Aged 50+",15015
"April 2018","Aged 16-24",13140
"April 2018","Aged 25-49",32290
"April 2018","Aged 50+",15370
"May 2018","Aged 16-24",12720
"May 2018","Aged 25-49",31460
"May 2018","Aged 50+",15110
"June 2018","Aged 16-24",12265
"June 2018","Aged 25-49",30945
"June 2018","Aged 50+",14835
"July 2018","Aged 16-24",12145
"July 2018","Aged 25-49",30795
"July 2018","Aged 50+",14770
"August 2018","Aged 16-24",12315
"August 2018","Aged 25-49",31285
"August 2018","Aged 50+",15015
"September 2018","Aged 16-24",12850
"September 2018","Aged 25-49",31985
"September 2018","Aged 50+",15380
"October 2018","Aged 16-24",13380
"October 2018","Aged 25-49",32670
"October 2018","Aged 50+",15685
"November 2018","Aged 16-24",13600
"November 2018","Aged 25-49",33285
"November 2018","Aged 50+",15945
"December 2018","Aged 16-24",13810
"December 2018","Aged 25-49",34450
"December 2018","Aged 50+",16470
"January 2019","Aged 16-24",14090
"January 2019","Aged 25-49",35750
"January 2019","Aged 50+",17090
"February 2019","Aged 16-24",14560
"February 2019","Aged 25-49",37520
"February 2019","Aged 50+",17725
"March 2019","Aged 16-24",15035
"March 2019","Aged 25-49",38200
"March 2019","Aged 50+",18040
"April 2019","Aged 16-24",15120
"April 2019","Aged 25-49",38405
"April 2019","Aged 50+",17805
"May 2019","Aged 16-24",15035
"May 2019","Aged 25-49",38515
"May 2019","Aged 50+",17660
"June 2019","Aged 16-24",14940
"June 2019","Aged 25-49",38985
"June 2019","Aged 50+",17565
"July 2019","Aged 16-24",15085
"July 2019","Aged 25-49",38635
"July 2019","Aged 50+",17525
"August 2019","Aged 16-24",15275
"August 2019","Aged 25-49",38860
"August 2019","Aged 50+",17440
"September 2019","Aged 16-24",15215
"September 2019","Aged 25-49",38495
"September 2019","Aged 50+",17045
"October 2019","Aged 16-24",15525
"October 2019","Aged 25-49",39090
"October 2019","Aged 50+",17295
"November 2019","Aged 16-24",15535
"November 2019","Aged 25-49",39215
"November 2019","Aged 50+",17485
"December 2019","Aged 16-24",15370
"December 2019","Aged 25-49",39620
"December 2019","Aged 50+",17480
