"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2015-10,170,monthly,105441,-1.9,-2.7,72.9,170,179556,-1.2,-2.5,73.4,108419,-1.8,-2.7,72.7,81366,-2.7,-2.9,72.0,63869,-2.9,-3.1,77.3,93442,-2.1,-2.7,72.6,121819,-1.8,-2.7,73.1,99288,-2.1,-2.7,73.3,65,108610,-1.9,-2.7,72.7,104,211347,-1.6,-2.6,72.8,14,102793,-2.0,-2.7,72.7,156,2015-10-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2015-11,184,monthly,106440,-1.4,0.9,73.6,184,181450,-0.6,1.1,74.2,109506,-1.2,1.0,73.4,81996,-2.1,0.8,72.5,64411,-2.6,0.8,78.0,94294,-1.5,0.9,73.3,123011,-1.2,1.0,73.8,100197,-1.5,0.9,74.0,70,109657,-1.3,1.0,73.4,114,213545,-1.1,1.0,73.5,21,103756,-1.5,0.9,73.4,163,2015-11-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2015-12,136,monthly,106740,-0.7,0.3,73.8,136,182003,-0.1,0.3,74.4,109811,-0.5,0.3,73.6,82236,-1.2,0.3,72.7,64500,-2.0,0.1,78.1,94579,-0.8,0.3,73.5,123334,-0.5,0.3,74.0,100456,-0.8,0.3,74.2,53,109980,-0.6,0.3,73.6,83,216105,-0.1,1.2,74.4,16,103957,-0.8,0.2,73.5,120,2015-12-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2016-01,113,monthly,108884,1.4,2.0,75.3,113,185433,1.8,1.9,75.8,112120,1.6,2.1,75.2,83860,0.8,2.0,74.2,65760,0.0,2.0,79.6,96480,1.3,2.0,75.0,125811,1.4,2.0,75.5,102461,1.2,2.0,75.7,45,112196,1.4,2.0,75.1,68,220829,1.6,2.2,76.1,14,106026,1.3,2.0,75.0,99,2016-01-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2016-02,126,monthly,108350,-0.6,-0.5,74.9,126,184478,-0.3,-0.5,75.4,111502,-0.3,-0.6,74.8,83507,-1.1,-0.4,73.9,65649,-2.1,-0.2,79.5,96039,-0.7,-0.5,74.7,125157,-0.6,-0.5,75.1,101997,-0.7,-0.5,75.3,39,111625,-0.6,-0.5,74.7,87,219567,-1.3,-0.6,75.6,11,105516,-0.5,-0.5,74.6,115,2016-02-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2016-03,198,monthly,107539,-0.5,-0.7,74.3,198,182959,-0.4,-0.8,74.8,110711,-0.2,-0.7,74.2,82823,-0.8,-0.8,73.3,65446,-1.4,-0.3,79.2,95307,-0.5,-0.8,74.1,124234,-0.5,-0.7,74.6,101278,-0.4,-0.7,74.8,82,110762,-0.5,-0.8,74.1,116,214920,-2.9,-2.1,74.0,15,104868,-0.2,-0.6,74.2,183,2016-03-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2016-04,120,monthly,109325,2.3,1.7,75.6,120,186071,2.3,1.7,76.1,112415,2.5,1.5,75.4,84339,2.2,1.8,74.6,66499,1.6,1.6,80.5,96915,2.3,1.7,75.3,126268,2.3,1.6,75.8,102954,2.4,1.7,76.0,39,112604,2.3,1.7,75.3,81,220241,0.6,2.5,75.9,18,106528,2.5,1.6,75.3,102,2016-04-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2016-05,159,monthly,109731,2.9,0.4,75.9,159,186597,2.9,0.3,76.3,112722,2.9,0.3,75.6,84835,3.1,0.6,75.0,66854,2.7,0.5,80.9,97357,3.0,0.5,75.7,126642,2.9,0.3,76.0,103312,3.0,0.3,76.3,61,113038,2.9,0.4,75.6,98,225306,3.7,2.3,77.6,23,106727,2.9,0.2,75.5,136,2016-05-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2016-06,163,monthly,110315,2.5,0.5,76.3,163,187514,2.8,0.5,76.7,113232,2.3,0.5,75.9,85455,2.5,0.7,75.6,67068,2.3,0.3,81.2,97904,2.5,0.6,76.1,127279,2.4,0.5,76.4,103852,2.5,0.5,76.7,57,113644,2.5,0.5,76.0,106,229031,5.5,1.7,78.9,36,107174,2.2,0.4,75.8,127,2016-06-01
Redcar and Cleveland,http://landregistry.data.gov.uk/id/region/redcar-and-cleveland,E06000003,2016-07,163,monthly,111154,2.3,0.8,76.8,163,188858,2.8,0.7,77.2,114051,2.0,0.7,76.5,86180,2.4,0.8,76.2,67627,2.1,0.8,81.9,98643,2.3,0.8,76.7,128255,2.3,0.8,77.0,104676,2.3,0.8,77.3,51,114489,2.3,0.7,76.6,112,229388,5.2,0.2,79.0,29,108053,2.0,0.8,76.4,134,2016-07-01
