period,Economic activity rate - aged 16-64,Employment rate - aged 16-64,Unemployment rate - aged 16+,episode_id,region,geography_level
Apr 2013-Mar 2014,74.4,67.1,9.7,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Apr 2014-Mar 2015,74.6,68.6,8.0,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Apr 2015-Mar 2016,75.3,69.5,7.5,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Apr 2016-Mar 2017,75.4,69.9,7.1,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Apr 2017-Mar 2018,75.2,71.1,5.5,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Apr 2018-Mar 2019,75.5,71.1,5.7,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Jan 2014-Dec 2014,74.9,68.4,8.5,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Jan 2015-Dec 2015,75.2,69.3,7.7,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Jan 2016-Dec 2016,75.5,70.5,6.6,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Jan 2017-Dec 2017,75.4,70.6,6.2,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Jan 2018-Dec 2018,75.3,71.1,5.3,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Jul 2013-Jun 2014,74.7,67.6,9.3,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Jul 2014-Jun 2015,74.6,68.8,7.6,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Jul 2015-Jun 2016,75.3,69.4,7.7,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Jul 2016-Jun 2017,75.2,70.2,6.5,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Jul 2017-Jun 2018,74.7,70.6,5.4,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Jul 2018-Jun 2019,75.8,71.4,5.7,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Oct 2013-Sep 2014,74.7,68.0,8.8,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Oct 2014-Sep 2015,74.9,69.0,7.6,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Oct 2015-Sep 2016,75.1,69.9,6.8,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Oct 2016-Sep 2017,75.4,70.4,6.4,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Oct 2017-Sep 2018,74.8,70.8,5.2,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
Oct 2018-Sep 2019,75.7,71.2,5.7,redcar_2015,North East England,"ITL1 North East — area-level, not SSI-worker-specific"
